"","","","2020-2022 [20202022]","2020-2022 [20202022]","2020-2022 [20202022]","2020-2022 [20202022]","2021 [2021]","2021 [2021]","2021 [2021]","2021 [2021]","2021-2023 [20212023]","2021-2023 [20212023]","2021-2023 [20212023]","2021-2023 [20212023]","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]","2022-2024 [20222024]","2022-2024 [20222024]","2022-2024 [20222024]","2022-2024 [20222024]","2023 [2023]","2023 [2023]","2023 [2023]","2023 [2023]","2024 [2024]","2024 [2024]","2024 [2024]","2024 [2024]"
"","","","Unit","Value","Flag Description","Note","Unit","Value","Flag Description","Note","Unit","Value","Flag Description","Note","Unit","Value","Flag Description","Note","Unit","Value","Flag Description","Note","Unit","Value","Flag Description","Note","Unit","Value","Flag Description","Note"
"Afghanistan [004]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","2144","Figure from external organization","","","","","","Int$/cap","1982","Figure from external organization","","","","","","Int$/cap","1984","Figure from external organization","","","","",""
"Afghanistan [004]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","3.6","Figure from external organization","","","","","","million No","3.9","Figure from external organization","","","","","","","","","","","","",""
"Afghanistan [004]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-2.52","Figure from external organization","","","","","","","-2.54","Figure from external organization","","","","","","","","","","","","",""
"Afghanistan [004]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","33.3","Estimated value","FAO data","","","","","%","34.7","Estimated value","FAO data","","","","","%","35.1","Estimated value","FAO data","","","","","","","",""
"Afghanistan [004]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","23.4","Estimated value","FAO data","","","","","%","26.5","Estimated value","FAO data","","","","","%","26.8","Estimated value","FAO data","","","","","","","",""
"Afghanistan [004]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","28.4","Estimated value","FAO data","","","","","%","30.6","Estimated value","FAO data","","","","","%","31","Estimated value","FAO data","","","","","","","",""
"Albania [008]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","16127","Figure from external organization","","","","","","Int$/cap","17112","Figure from external organization","","","","","","Int$/cap","17991","Figure from external organization","","Int$/cap","18920","Figure from external organization",""
"Albania [008]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","0.5","Figure from external organization","","","","","","million No","0.5","Figure from external organization","","","","","","","","","","","","",""
"Albania [008]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","0.2","Figure from external organization","","","","","","","0.11","Figure from external organization","","","","","","","","","","","","",""
"Albania [008]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","9.2","Estimated value","FAO data","","","","","%","9.3","Estimated value","FAO data","","","","","%","9.4","Estimated value","FAO data","","","","","","","",""
"Albania [008]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","5.8","Estimated value","FAO data","","","","","%","7.2","Estimated value","FAO data","","","","","%","7.4","Estimated value","FAO data","","","","","","","",""
