Domain,Area,Element,Item,Year,Value
"Suite of Food Security Indicators","Afghanistan","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","2144"
"Suite of Food Security Indicators","Afghanistan","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","1982"
"Suite of Food Security Indicators","Afghanistan","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","1984"
"Suite of Food Security Indicators","Afghanistan","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","28.4"
"Suite of Food Security Indicators","Afghanistan","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","30.6"
"Suite of Food Security Indicators","Afghanistan","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","31"
"Suite of Food Security Indicators","Afghanistan","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","23.4"
"Suite of Food Security Indicators","Afghanistan","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","26.5"
"Suite of Food Security Indicators","Afghanistan","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","26.8"
"Suite of Food Security Indicators","Afghanistan","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","33.3"
"Suite of Food Security Indicators","Afghanistan","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","34.7"
"Suite of Food Security Indicators","Afghanistan","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","35.1"
"Suite of Food Security Indicators","Afghanistan","Value","Political stability and absence of violence/terrorism (index)","2021","-2.52"
"Suite of Food Security Indicators","Afghanistan","Value","Political stability and absence of violence/terrorism (index)","2022","-2.54"
"Suite of Food Security Indicators","Afghanistan","Value","Number of obese adults (18 years and older) (million)","2021","3.6"
"Suite of Food Security Indicators","Afghanistan","Value","Number of obese adults (18 years and older) (million)","2022","3.9"
"Suite of Food Security Indicators","Albania","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","16127"
"Suite of Food Security Indicators","Albania","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","17112"
"Suite of Food Security Indicators","Albania","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","17991"
"Suite of Food Security Indicators","Albania","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","18920"
"Suite of Food Security Indicators","Albania","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","7.5"
"Suite of Food Security Indicators","Albania","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","8.2"
"Suite of Food Security Indicators","Albania","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","8.4"
"Suite of Food Security Indicators","Albania","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","5.8"
"Suite of Food Security Indicators","Albania","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","7.2"
"Suite of Food Security Indicators","Albania","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","7.4"
"Suite of Food Security Indicators","Albania","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","9.2"
"Suite of Food Security Indicators","Albania","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","9.3"
"Suite of Food Security Indicators","Albania","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","9.4"
"Suite of Food Security Indicators","Albania","Value","Political stability and absence of violence/terrorism (index)","2021","0.2"
"Suite of Food Security Indicators","Albania","Value","Political stability and absence of violence/terrorism (index)","2022","0.11"
"Suite of Food Security Indicators","Albania","Value","Number of obese adults (18 years and older) (million)","2021","0.5"
"Suite of Food Security Indicators","Albania","Value","Number of obese adults (18 years and older) (million)","2022","0.5"
"Suite of Food Security Indicators","Algeria","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","14497"
"Suite of Food Security Indicators","Algeria","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","14782"
"Suite of Food Security Indicators","Algeria","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","15159"
"Suite of Food Security Indicators","Algeria","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","15442"
"Suite of Food Security Indicators","Algeria","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","5.6"
"Suite of Food Security Indicators","Algeria","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","5.6"
